구분,구간,연장(km),공사기간,건설비(백만원),토공(천),"교량(개소,m)","소교량(개소,m)","장대교(개소,m)","터널(개소,m)",나들목(개소),휴게소(개소),횡단육교(개소),버스정류장(개소),평면교차(개소)
수도권제2순환선(수공수탁),시화분기점,3.2,2018-6~2022-6,120500,301,5/2727,,5/2727,,,,,,
대구외곽순환,성서~동대구,32.5,2014-3~2021-12,1525833,15118,77/9122,42/1395,35/7727,8/7397,8,,,,
광주외곽순,본량~남장성,9.7,2015-12~2022-12,495100,4762,31/2022,25/847,6/1175,,2,,4,,
당진청주선,아산~천안,20.6,2015-12~2023-12,1508174,12184,59/8502,41/1609,18/6893,6/2553,3,,,,
당진청주선,인주~염치,7.1,2021-08~2025-12,1008035,2014,6/1308,01월 26일,5/1282,2/3963,,,,,
경부선,양재~수원,18.5,1989-5~1992-8,96000,1364,18/853,17/745,1/108,,2,,,2,
경부선,수원~청원,100.1,1991-5~1993-7,481800,13210,78/4543,70/2467,8/2076,,7,4,6,14,
경부선,청원~증약,29,1994-10~1999-11,373361,5641,27/2356,22/631,5/1725,2/1559,2,,,,
경부선,천안나들목~분기점,7.8,2000-3~2002-12,29858,816,4/165,4/165,,,1,1,,,
경부선,동대구~구미,60.8,1997-12～2003-12,1102708,22330,98/6626,82/2886,16/3740,,4,2,1,2,
경부선,서대구~금호,3.3,2000-6～2003-12,97780,943,8/1130,3/155,5/975,1,,,,,
경부선,옥천~증약,5.7,2001-12~2005-12,99534,3533,6/637,4/250,2/387,1/348,1,,1,,1
경부선,영천-언양,55,"2011-12~2,018-12",894017,11179,57/1661,56/1556,1/105,1/185,3,4,1,,3
경부선,언양~부산,37,2001-12～2005-12,367548,3821,45/1388,44/1288,1/100,,4,,4,2,
경부선,영동~김천,34.3,2001-12~2006-12,485939,11556,39/2601,35/1072,4/1529,1/618,4,2,3,6,
경부선,김천~구미,12.9,2002-7~2006-12,145259,2751,9/504,8/163,1/341,,,1,,,
경부선,동대구~영천,25.8,2001-11～2006-11,292622,4135,35/1299,33/819,2/480,,2,1,3,2,
경부선,기흥~판교,20.9,2006-6~2010-12,247250,3132,35/2405,30/1306,5/1099,,3,,,,
경부선,영동~옥천,7.1,2009-3~2015-12,161450,1048,4/613,3/70,1/543,2/570,,,,,
경부선,동이~옥천,3.5,2017-4~20222-12,54045,617,3/127,3/127,,,,1,2,,
경부선,양재~기흥,7.53,2011-10~2015-12,84600,216,,3/84,,,,,,,
(LH수탁),동탄나들목~분기점,4.1,2017-3~2023-06,248694,2035,3/170,3/170,,,,,,,
서해선,안산~일직,10,2010-07~2015-12,169440,541,,15/611,6/1791,,2,,,,
서해선,평택-서평택,9,2014-10~2019-12,125393,1031,13/553,12/313,1/240,,1,,1,,
남해선,진주~광양,50.5,1989-10~1992-12,242000,14978,57/5393,39/1422,18/3971,4/1826,6,1,,4,
남해선,광양~순천,8.1,1991-10~1993-12,33500,1502,11/398,11/398,,,1,,1,1,
남해선,내서~냉정,33.9,1996-~2001-10,663028,16064,48/5595,32/861,16/4732,10/10878,3,1,4,,
남해선,진주~마산,48.2,2007-1~2011-12,973197,20644,76/3935,65/2082,11/1853,3/2062,8,4,10,,
남해선,냉정~부산,53.3,2008-12~2015-6,1439618,10648,91/10304,70/2318,21/7986,3/4423,7,1,6,,
광주대구선,고서~담양,16.3,2001-12~2006-12,256591,5249,21/2099,15/439,6/1660,2/2953,1,,1,,
광주대구선,옥포～성산,13.3,2001-11~2006-12,264400,5115,20/2277,15/640,4/1637,,1,1,,,
광주대구선,담양~성산,142.8,2008-11~2015-12,2314938,23304,141/12200,34/8958,107/3242,28/17396,9,5,,,
호남선,고서~순천,71.4,1992-11-9~1996-11-19,389700,19422,69/5887,50/1730,19/4157,4/4189,7,5,,5,
